,"region","sp","family","Kipps","guild","env","iso1","iso2","dist","Dgeo_m$dist","resist_dist$dist","saz_dist$dist","sta_dist$dist","re_sa_dist$dist","re_st_dist$dist","sa_st_dist$dist","sa_re_st_dist$dist","TDIV","resist_resi","saz_resi","sta_resi"
"392","NN","difficilis","tyra",14.11,"Insectivorous","bamboo","N_LGEMA19546_Nm","N_LGEMA18817_Nm",0.52862595419847,40.1146697350692,6.93740414690207,22.0064834189135,56.0586324088303,128.714989381406,55.1919181832003,78.3413537672098,73.6115205427839,300702,-6.55312256934005,3.23914301670186,11.5958092070284
"516","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18386_S","N_LGEMA19537_Nm",0.982824427480914,462.939422481637,45.1475646607955,50.952827368378,96.7377335634121,221.876733536964,92.8164579075516,127.10425926261,124.105252125173,300702,0.999505305375252,3.33888867673451,11.4254110366691
"523","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18387_S","N_LGEMA19537_Nm",1,462.939422481637,45.1475646607955,50.952827368378,96.7377335634121,221.876733536964,92.8164579075516,127.10425926261,124.105252125173,300702,0.999505305375252,3.33888867673451,11.4254110366691
"533","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18527_S","N_LGEMA19537_Nm",0.799618320610676,462.939422481637,45.1475646607955,50.952827368378,96.7377335634121,221.876733536964,92.8164579075516,127.10425926261,124.105252125173,300702,0.999505305375252,3.33888867673451,11.4254110366691
"402","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18386_S","N_LGEMA18817_Nm",0.914122137404573,462.900290070966,45.1475646607955,50.952827368378,96.7377335634121,221.876733536964,92.8164579075516,127.10425926261,124.105252125173,300702,1.00234265855669,3.34155842802838,11.4291916558805
"417","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18387_S","N_LGEMA18817_Nm",0.858778625954188,462.900290070966,45.1475646607955,50.952827368378,96.7377335634121,221.876733536964,92.8164579075516,127.10425926261,124.105252125173,300702,1.00234265855669,3.34155842802838,11.4291916558805
"425","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18527_S","N_LGEMA18817_Nm",0.803435114503804,462.900290070966,45.1475646607955,50.952827368378,96.7377335634121,221.876733536964,92.8164579075516,127.10425926261,124.105252125173,300702,1.00234265855669,3.34155842802838,11.4291916558805
"545","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18529_S","N_LGEMA19537_Nm",0.948473282442744,462.939422481637,43.8537444387489,51.0472779137069,100.223058426287,225.11229875343,100.396627662081,134.419828499011,133.865730428216,300702,-0.294314916671354,3.43333922206341,14.910735899544
"435","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18529_S","N_LGEMA18817_Nm",0.891221374045803,462.900290070966,43.8537444387489,51.0472779137069,100.223058426287,225.11229875343,100.396627662081,134.419828499011,133.865730428216,300702,-0.291477563489916,3.43600897335728,14.9145165187554
"316","NN","difficilis","tyra",14.11,"Insectivorous","bamboo","N_LGEMA18795_Nb","N_LGEMA18507_Nb",0.360687022900761,57.4970463872957,16.5954881074984,25.5920475643956,48.7014820484102,141.848140463436,41.3936754696239,66.3004966956241,55.2976108125892,300702,1.84462652178487,5.63882002254687,2.5593309957466
